epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,time
18,0.0002617964536304144,0.028263979024820394,0.028263982385396957,0.16811895370483398,0.15465690195560455,-1.0102245807647705,00:04
19,0.00021382485659584552,0.0202606607983996,0.020260659977793694,0.14233994483947754,0.12885113060474396,-0.44100284576416016,00:04
20,0.00019333336004026376,0.01592549744185868,0.015925496816635132,0.1261962652206421,0.11265621334314346,-0.13267219066619873,00:04
21,0.00017738669053113276,0.013816803485363514,0.013816804625093937,0.11754490435123444,0.1043502539396286,0.017304837703704834,00:04
22,0.0001641086847593396,0.011239472802702363,0.011239473707973957,0.1060163825750351,0.09307998418807983,0.20061278343200684,00:04
23,0.0001542623798016313,0.00805404636409733,0.008054046891629696,0.08974434435367584,0.07551389932632446,0.4271705746650696,00:03
24,0.00014382846199240438,0.007671255331773024,0.007671255152672529,0.0875857025384903,0.07492228597402573,0.4543958902359009,00:04
25,0.000137229783085935,0.0052210325961346395,0.0052210320718586445,0.07225671410560608,0.057821162045001984,0.6286635398864746,00:04
26,0.00013036094436437245,0.004111165350133722,0.004111164715141058,0.06411836296319962,0.0494222491979599,0.7076008319854736,00:04
27,0.0001268294505144489,0.0035023601738723006,0.0035023598466068506,0.059180740267038345,0.045390062034130096,0.7509009838104248,00:04
28,0.00012014806270599365,0.0026867333408835885,0.0026867336127907038,0.05183371156454086,0.03973960131406784,0.8089109659194946,00:04
29,0.00011464830037135228,0.0024014832256557222,0.002401483478024602,0.0490049310028553,0.03859115391969681,0.8291988372802734,00:04
30,0.00011304709670541501,0.002162499652875887,0.0021624998189508915,0.04650268703699112,0.03719284012913704,0.8461961150169373,00:03
31,0.00011079193002207915,0.001694720420804057,0.001694720471277833,0.04116698354482651,0.03265807405114174,0.8794660568237305,00:04
32,0.0001085371972215078,0.0016109653702982656,0.0016109651187434793,0.040136829018592834,0.032188136130571365,0.8854230046272278,00:04
33,0.00010551891888782477,0.0013659863205222817,0.001365986536256969,0.03695925697684288,0.02934441901743412,0.9028466939926147,00:04
34,0.00010491812006791577,0.0014968476929031053,0.0014968478353694081,0.03868911787867546,0.03138333559036255,0.8935394287109375,00:04
35,0.00010323765822385418,0.0014376433996053843,0.0014376433100551367,0.037916265428066254,0.03031444177031517,0.897750198841095,00:04
36,0.00010316696245091085,0.0015742292145749072,0.0015742292162030935,0.03967655822634697,0.032073087990283966,0.888035774230957,00:04
37,0.00010104193347925701,0.0015253713289340894,0.0015253713354468346,0.03905600309371948,0.031514860689640045,0.8915107250213623,00:04
38,9.504173483167375e-05,0.0014009199567608067,0.0014009199803695083,0.03742886334657669,0.02985694445669651,0.9003621339797974,00:04
39,0.0001021387213137716,0.0021332885835554215,0.0021332886535674334,0.04618753865361214,0.03774572163820267,0.848273754119873,00:04
40,9.533236848971754e-05,0.0019688468713026782,0.001968846656382084,0.04437168687582016,0.03538421913981438,0.8599693775177002,00:04
41,9.179656970923981e-05,0.001491797449705484,0.001491797505877912,0.03862379491329193,0.029331156983971596,0.893898606300354,00:04
42,9.156441531255096e-05,0.0014916735512393337,0.00149167375639081,0.03862219303846359,0.029342487454414368,0.8939074277877808,00:04
43,9.145995803699372e-05,0.0016509660265662453,0.0016509660053998232,0.04063208028674126,0.030085479840636253,0.8825780153274536,00:02
44,9.069742263719318e-05,0.0017050459876760736,0.001705045928247273,0.04129220172762871,0.030161583796143532,0.8787317276000977,00:04
45,9.877045551574263e-05,0.0025084841918278406,0.0025084842927753925,0.05008477345108986,0.03640706464648247,0.8215885758399963,00:04
46,8.90647624708285e-05,0.0025431411666469975,0.0025431409012526274,0.0504295639693737,0.03507812321186066,0.8191236853599548,00:04
47,8.561487247772494e-05,0.0029931868706549796,0.002993187168613076,0.0547100305557251,0.03964246064424515,0.7871149778366089,00:04
48,8.704707202746502e-05,0.002520539335437588,0.002520539565011859,0.05020497739315033,0.0342700257897377,0.8207311630249023,00:04
49,9.281623488236168e-05,0.0040070727154925155,0.004007072187960148,0.0633014366030693,0.04301535338163376,0.7150042057037354,00:04
50,8.259292647879811e-05,0.0035526977552400602,0.0035526978317648172,0.05960451439023018,0.03963422402739525,0.7473207712173462,00:02
